run,experiment,seed,perturbation,group,macro_f1,clean_contract,device
R1_s42,R1,42,contrast_low,brightness/contrast,0.9404195338809356,,
R1_s42,R1,42,contrast_high,brightness/contrast,0.9331196541016205,,
R1_s42,R1,42,saturation_low,saturation,0.9329297914986002,,
R1_s42,R1,42,saturation_high,saturation,0.9346788446629608,,
R1_s42,R1,42,hue_pos,hue shift,0.8783781387350061,,
R1_s42,R1,42,hue_neg,hue shift,0.8790810721019275,,
R1_s42,R1,42,noise_light,gaussian noise,0.8710679954412123,,
R1_s42,R1,42,noise_heavy,gaussian noise,0.3264392068232747,,
R1_s42,R1,42,blur_light,blur,0.8584270588069673,,
R1_s42,R1,42,blur_heavy,blur,0.3489571475182985,,
R1_s42,R1,42,jpeg_q60,jpeg compression,0.8327762860301305,,
R1_s42,R1,42,jpeg_q30,jpeg compression,0.7518966521357514,,
R1_s42,R1,42,shadow_left,shadow,0.940752035245109,,
R1_s42,R1,42,shadow_right,shadow,0.9341582837012964,,
R1_s42,R1,42,wb_warm,white balance,0.9220846153404092,,
R1_s42,R1,42,wb_cool,white balance,0.9003403793279097,,
R2_s42,R2,42,unperturbed,unperturbed,0.9406441883760628,,
R2_s42,R2,42,brightness_up,brightness/contrast,0.9380441225835296,,
R2_s42,R2,42,brightness_down,brightness/contrast,0.903272148761748,,
R2_s42,R2,42,contrast_low,brightness/contrast,0.9415795656916544,,
R2_s42,R2,42,contrast_high,brightness/contrast,0.9410696149001562,,
R2_s42,R2,42,saturation_low,saturation,0.9339669564195174,,
R2_s42,R2,42,saturation_high,saturation,0.9353818144780828,,
R2_s42,R2,42,hue_pos,hue shift,0.8911948393260883,,
R2_s42,R2,42,hue_neg,hue shift,0.8888770483173267,,
R2_s42,R2,42,noise_light,gaussian noise,0.8729312513520444,,
R2_s42,R2,42,noise_heavy,gaussian noise,0.3470594759672316,,
R2_s42,R2,42,blur_light,blur,0.8889922578849785,,
R2_s42,R2,42,blur_heavy,blur,0.4202051178900418,,
R2_s42,R2,42,jpeg_q60,jpeg compression,0.8438359656055192,,
R2_s42,R2,42,jpeg_q30,jpeg compression,0.7742450095852068,,
R2_s42,R2,42,shadow_left,shadow,0.9407585542102485,,
R2_s42,R2,42,shadow_right,shadow,0.9445996296381594,,
R2_s42,R2,42,wb_warm,white balance,0.932977017710172,,
R2_s42,R2,42,wb_cool,white balance,0.9217479626043776,,
R3_s42,R3,42,unperturbed,unperturbed,0.9348014946839938,,
R3_s42,R3,42,brightness_up,brightness/contrast,0.935783621129373,,
R3_s42,R3,42,brightness_down,brightness/contrast,0.9007674338225842,,
R3_s42,R3,42,contrast_low,brightness/contrast,0.933827208388454,,
R3_s42,R3,42,contrast_high,brightness/contrast,0.9300990689075618,,
